CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J091510.01+475658.8,3.342,0.4519,18.16,0.456,0.089,0.254,0.094,Sloan,138.79171,47.94967
J091727.16+282302.3,1.312,0.9727,19.88,1.938,0.326,1.191,0.308,Sloan,139.36317,28.38397
J091815.92+481135.5,1.27,0.6626,18.53,0.465,0.08,0.318,0.085,Sloan,139.56633,48.19319
J091958.24+111152.3,1.928,0.1818,18.91,1.105,0.212,0.72,0.168,Sloan,139.99267,11.19786
J092525.17+202139.0,0.459,0.4453,18.78,0.858,0.169,0.502,0.149,Sloan,141.35487,20.36083
J092837.98+602521.0,0.295,0.1538,17.24,0.307,0.048,0.288,0.049,Sloan,142.15825,60.4225
J092908.67+563556.7,0.897,0.2746,17.52,0.359,0.063,0.275,0.064,Sloan,142.28612,56.59908
J093035.07+464408.4,2.034,0.6212,18.69,0.526,0.096,0.325,0.1,Sloan,142.64612,46.73567
J093508.36+271648.6,0.94,0.6559,19.46,0.611,0.099,0.323,0.108,Sloan,143.78483,27.28017
J093556.91+002255.6,3.739,1.2825,19.81,0.9,0.071,0.368,0.073,Sloan,143.98712,0.38211
J093738.03+562838.8,1.8,0.9784,19.76,1.311,0.153,0.847,0.173,Sloan,144.40846,56.47744
J093743.93+004130.6,2.58,0.4099,19.44,0.838,0.115,0.351,0.123,Sloan,144.43304,0.69183
J093945.62+511327.2,1.935,0.6738,17.29,0.421,0.08,0.212,0.065,Sloan,144.94008,51.22422
J094109.66+050114.6,2.601,0.7743,19.48,0.785,0.158,0.415,0.125,Sloan,145.29025,5.02072
J094145.03+303503.6,1.225,0.9378,18.69,1.118,0.095,0.872,0.104,Sloan,145.43762,30.58433
J094158.74+352329.7,2.062,1.2092,17.58,0.31,0.037,0.267,0.053,Sloan,145.49475,35.39158
J094229.86+614652.2,0.643,0.1992,19.46,0.828,0.153,0.488,0.175,Sloan,145.62442,61.78117
J094613.97+133441.2,2.47,0.1152,17.58,0.393,0.058,0.229,0.064,Sloan,146.55821,13.57811
J094636.86+323949.6,1.307,0.7982,17.34,0.6,0.062,0.279,0.067,Sloan,146.65358,32.66378
J094806.59+045811.7,1.738,0.9017,19,0.527,0.102,0.268,0.077,Sloan,147.02746,4.96992
J094927.67+314110.0,0.309,0.3055,16.88,1.779,0.056,1.065,0.062,Sloan,147.36529,31.68611
J095031.63+432908.4,1.771,0.7308,17.33,0.82,0.037,0.536,0.043,Sloan,147.63179,43.48567
J095046.94+041451.3,1.864,0.6264,19.02,0.667,0.108,0.443,0.114,Sloan,147.69558,4.24758
J095221.58+235248.3,2.545,0.2369,18.43,0.449,0.088,0.187,0.075,Sloan,148.08992,23.88008
J095352.70+080103.6,1.718,1.0232,17.89,0.47,0.071,0.337,0.084,Sloan,148.46958,8.01767
J095624.74+355604.5,2.804,0.8148,18.32,0.427,0.052,0.2,0.05,Sloan,149.10308,35.93458
J095737.14+255546.9,1.52,0.7811,17.88,0.391,0.049,0.202,0.049,Sloan,149.40475,25.92969
J095808.06+500055.3,1.312,0.8088,18.16,0.493,0.069,0.334,0.098,Sloan,149.53358,50.01536
J095829.88+182528.1,2.363,0.5045,18.52,0.842,0.125,0.485,0.126,Sloan,149.6245,18.42447
J100000.85+514416.6,1.236,0.907,18.97,0.896,0.168,0.66,0.216,Sloan,150.00354,51.73794
J100033.85+132410.8,1.355,0.6984,16.85,0.318,0.043,0.194,0.053,Sloan,150.14104,13.403
J100102.75+500421.9,2.15,1.1488,19.19,1.479,0.287,0.659,0.21,Sloan,150.26146,50.07275
J100125.06+072329.1,3.14,0.409,18.99,1.401,0.191,0.728,0.175,Sloan,150.35442,7.39142
J100145.14+594008.6,1.186,0.9001,18.36,0.452,0.087,0.225,0.073,Sloan,150.43808,59.66906
J100237.22+270056.5,1.976,0.7536,17.61,0.525,0.055,0.298,0.053,Sloan,150.65508,27.01569
J100523.73+115712.4,1.655,0.8345,18.16,0.777,0.08,0.634,0.103,Sloan,151.34887,11.95344
J100544.53+520903.3,3.14,0.5849,18.33,0.609,0.112,0.341,0.088,Sloan,151.43554,52.15092
J100625.17+302611.7,0.747,0.7157,18.53,0.54,0.095,0.28,0.101,Sloan,151.60487,30.43658
J100629.14+682126.0,1.044,0.4346,18.06,0.632,0.07,0.339,0.058,Sloan,151.62142,68.35722
J100713.68+285348.4,1.045,0.8839,20.09,1.411,0.109,0.931,0.129,Sloan,151.807,28.89678
J100734.64+155751.8,2.049,0.6707,18.94,0.666,0.111,0.334,0.102,Sloan,151.89433,15.96439
J100937.13+291606.5,2.226,0.2894,17.96,0.38,0.072,0.262,0.077,Sloan,152.40471,29.26847
J100940.65+123010.3,0.611,0.5054,17.98,0.541,0.097,0.382,0.099,Sloan,152.41937,12.50286
J100943.55+052953.8,0.942,0.3862,17.17,0.424,0.031,0.225,0.034,Sloan,152.43146,5.49828
J101030.54+255949.5,0.511,0.2446,16.53,0.386,0.048,0.214,0.038,Sloan,152.62725,25.99708
J101145.10+422617.1,2.258,0.222,18.68,0.652,0.129,0.44,0.103,Sloan,152.93792,42.43808
J101209.65+484839.4,1.518,0.7767,18.34,0.463,0.08,0.232,0.075,Sloan,153.04021,48.81094
J101252.58+474708.6,2.606,0.8312,18.51,0.554,0.094,0.522,0.11,Sloan,153.21908,47.78572
J101358.73+011928.4,1.995,0.6696,19.29,0.906,0.108,0.344,0.109,Sloan,153.49471,1.32456
J101748.68+222659.2,1.993,0.5362,18.6,0.583,0.091,0.336,0.091,Sloan,154.45283,22.44978
J101847.31+445145.6,1.962,0.4357,17.87,0.332,0.049,0.18,0.055,Sloan,154.69712,44.86267
J102653.65+251540.4,3.16,0.6503,18.28,0.452,0.06,0.534,0.071,Sloan,156.72354,25.26122
J102928.64+310623.4,1.062,0.4042,17.6,0.435,0.072,0.254,0.078,Sloan,157.36933,31.1065
J102935.19-012138.3,1.058,0.2899,18.68,0.351,0.067,0.208,0.055,Sloan,157.39662,-1.36064
J103024.18+561832.8,1.293,1.0001,18.14,0.727,0.147,0.459,0.091,Sloan,157.60075,56.30911
J103410.41+233657.7,2.352,0.7323,18.43,0.517,0.084,0.524,0.098,Sloan,158.54337,23.61603
J103451.42+233435.4,2.654,0.3324,17.12,0.378,0.049,0.326,0.076,Sloan,158.71425,23.5765
J103546.02+110546.4,2.358,0.3328,17.65,0.466,0.074,0.416,0.09,Sloan,158.94175,11.09622
